Adventure,Global_Sales
Nintendo,35.709999999999994
Ubisoft,22.19
THQ,19.98
Disney Interactive Studios,17.759999999999998
Sony Computer Entertainment,13.549999999999999
Capcom,10.249999999999996
Konami Digital Entertainment,9.569999999999997
Take-Two Interactive,7.5600000000000005
Sega,7.410000000000003
Activision,5.42
Namco Bandai Games,5.289999999999996
Red Orb,5.24
Electronic Arts,4.749999999999999
Atari,3.56
Square Enix,2.9600000000000004
Mojang,2.89
Sony Computer Entertainment Europe,2.6399999999999997
Telltale Games,2.5599999999999987
Idea Factory,2.4199999999999977
Alchemist,2.1599999999999993
ChunSoft,2.1599999999999993
LucasArts,2.01
Focus Home Interactive,1.9300000000000004
Kadokawa Shoten,1.7000000000000006
Deep Silver,1.6700000000000002
Microsoft Game Studios,1.6300000000000001
GSP,1.62
Avanquest Software,1.57
Vivendi Games,1.54
5pb,1.3400000000000007
Global Star,1.3
Scholastic Inc.,1.29
Acclaim Entertainment,1.24
Unknown,1.1500000000000001
Tecmo Koei,1.0100000000000002
Little Orbit,0.97
Majesco Entertainment,0.9100000000000001
Game Factory,0.86
Interplay,0.83
BAM! Entertainment,0.79
Virgin Interactive,0.78
Codemasters,0.78
D3Publisher,0.7700000000000005
Aqua Plus,0.7700000000000002
505 Games,0.7400000000000001
Infogrames,0.7200000000000001
ASCII Entertainment,0.71
Eidos Interactive,0.68
Banpresto,0.6400000000000001
City Interactive,0.5900000000000001
Warner Bros. Interactive Entertainment,0.59
Prototype,0.5800000000000003
Marvelous Interactive,0.5500000000000002
NEC Interchannel,0.51
PQube,0.5
DTP Entertainment,0.46
Broccoli,0.43000000000000005
Asylum Entertainment,0.43
Nippon Ichi Software,0.42000000000000015
Psygnosis,0.42000000000000004
Knowledge Adventure,0.42
Imagineer,0.4
Zoo Digital Publishing,0.39
Astragon,0.38
Midway Games,0.37000000000000005
Elf,0.36
3DO,0.35000000000000003
Pioneer LDC,0.33
Mattel Interactive,0.31000000000000005
Human Entertainment,0.29000000000000004
The Adventure Company,0.28
Daedalic,0.28
Arc System Works,0.27
NewKidCo,0.26
JoWood Productions,0.26
Enterbrain,0.25
Hudson Soft,0.24000000000000002
PopCap Games,0.24
Acquire,0.22000000000000003
Rising Star Games,0.21000000000000002
Yeti,0.21000000000000002
Microids,0.21
ASCII Media Works,0.21
Sunsoft,0.2
Merscom LLC,0.2
SouthPeak Games,0.19999999999999998
LEGO Media,0.18
Destineer,0.18
Oxygen Interactive,0.18
Quinrose,0.17000000000000004
CyberFront,0.15000000000000002
Happinet,0.15000000000000002
Crystal Dynamics,0.15
Crave Entertainment,0.15
Imadio,0.14
Media Factory,0.14
NEC,0.14
Swing! Entertainment,0.14
Daedalic Entertainment,0.14
Aksys Games,0.13999999999999999
Rondomedia,0.13999999999999999
Comfort,0.13
TDK Mediactive,0.13
Success,0.13
Foreign Media Games,0.13
From Software,0.12
Level 5,0.12
Kadokawa Games,0.12
Compile Heart,0.11000000000000001
Empire Interactive,0.11
Shogakukan,0.11
HMH Interactive,0.11
Gainax Network Systems,0.11
Data East,0.11
Funbox Media,0.11
Type-Moon,0.1
Spike,0.1
dramatic create,0.1
CDV Software Entertainment,0.1
SNK Playmore,0.1
Gust,0.1
Interchannel,0.1
Reef Entertainment,0.09999999999999999
TGL,0.09999999999999999
Koch Media,0.09000000000000001
DreamCatcher Interactive,0.09000000000000001
GameMill Entertainment,0.09
KID,0.08
Natsume,0.08
Nordic Games,0.08
Ackkstudios,0.07
Aria,0.07
Athena,0.07
Blast! Entertainment Ltd,0.07
Sammy Corporation,0.07
Warp,0.07
Kemco,0.07
Princess Soft,0.07
Revolution Software,0.06999999999999999
FuRyu,0.060000000000000005
O-Games,0.06
Fortyfive,0.06
Yumedia,0.06
Neko Entertainment,0.06
Indie Games,0.06
MC2 Entertainment,0.06
Media Works,0.05
Sweets,0.05
Mastiff,0.05
Zushi Games,0.05
WayForward Technologies,0.05
Pack-In-Video,0.05
GN Software,0.05
Societa,0.04
Ignition Entertainment,0.04
Asmik Ace Entertainment,0.04
Legacy Interactive,0.04
Kalypso Media,0.04
Russel,0.04
Mindscape,0.03
Storm City Games,0.03
Aspyr,0.03
Mastertronic,0.03
Atlus,0.03
Her Interactive,0.03
BushiRoad,0.03
Mamba Games,0.03
Headup Games,0.03
Nobilis,0.03
Creative Core,0.03
Rocket Company,0.03
Datam Polystar,0.03
Kids Station,0.03
Fuji,0.03
Minato Station,0.03
Zoo Games,0.02
Taito,0.02
Victor Interactive,0.02
10TACLE Studios,0.02
System Soft,0.02
Kaga Create,0.02
Big Ben Interactive,0.02
Big Fish Games,0.02
Coconuts Japan,0.02
Crimson Cow,0.02
Culture Brain,0.02
Giga,0.02
GungHo,0.02
Revolution (Japan),0.02
HuneX,0.02
Marvelous Games,0.02
NetRevo,0.02
Quintet,0.02
RED Entertainment,0.02
Valcon Games,0.01
ValuSoft,0.01
Views,0.01
Nitroplus,0.01
DSI Games,0.01
Otomate,0.01
Piacci,0.01
Takuyo,0.01
Cave,0.01
Boost On,0.01
Avanquest,0.01
imageepoch Inc.,0.01
