Misc,Global_Sales
Nintendo,180.66999999999996
Ubisoft,97.53000000000004
Sony Computer Entertainment,80.80000000000004
Activision,76.54999999999993
Microsoft Game Studios,46.99000000000001
Namco Bandai Games,29.549999999999997
Electronic Arts,24.950000000000003
Disney Interactive Studios,24.889999999999997
THQ,23.68
MTV Games,20.97
Sega,20.20999999999999
Konami Digital Entertainment,18.619999999999997
Take-Two Interactive,10.579999999999997
Midway Games,9.61
RedOctane,8.68
Atari,7.209999999999998
Hasbro Interactive,6.8
Sony Computer Entertainment Europe,6.6
Unknown,6.530000000000001
Mindscape,6.03
Warner Bros. Interactive Entertainment,5.639999999999999
Hudson Soft,4.879999999999999
505 Games,4.53
D3Publisher,3.75
Infogrames,3.73
Nordic Games,3.2399999999999998
Majesco Entertainment,2.6999999999999993
Zoo Games,2.6299999999999994
Crave Entertainment,2.6099999999999994
Zoo Digital Publishing,2.5499999999999994
Oxygen Interactive,2.4799999999999995
Rising Star Games,2.1599999999999997
Capcom,1.94
Codemasters,1.7
Play It,1.67
Sammy Corporation,1.67
Square Enix,1.5599999999999998
Vivendi Games,1.5500000000000003
GSP,1.5100000000000002
Pinnacle,1.26
Acclaim Entertainment,1.19
Aruze Corp,1.1800000000000002
Rocket Company,1.1500000000000001
Nippon Ichi Software,1.13
Eidos Interactive,1.12
Mentor Interactive,1.07
Interplay,1.02
IE Institute,0.9400000000000002
GT Interactive,0.94
NewKidCo,0.9199999999999999
Takara,0.89
Quelle,0.87
GameMill Entertainment,0.81
Harmonix Music Systems,0.8
Telegames,0.7899999999999999
Empire Interactive,0.77
System 3 Arcade Software,0.73
Deep Silver,0.7200000000000001
Funbox Media,0.68
UFO Interactive,0.6400000000000001
Destineer,0.6300000000000001
Hudson Entertainment,0.6000000000000001
Avanquest,0.58
Spike,0.5700000000000001
Universal Interactive,0.56
Microprose,0.55
Enix Corporation,0.55
Mud Duck Productions,0.55
TDK Mediactive,0.55
Ignition Entertainment,0.45999999999999996
Knowledge Adventure,0.44
Nippon Columbia,0.42000000000000004
ASCII Entertainment,0.42000000000000004
Game Factory,0.41000000000000003
Seta Corporation,0.39
Brash Entertainment,0.39
P2 Games,0.38
Tecmo Koei,0.3500000000000001
Takara Tomy,0.35000000000000003
Nobilis,0.35
Magix,0.35
AQ Interactive,0.34
Shogakukan,0.33000000000000007
Benesse,0.33
Black Bean Games,0.32999999999999996
O-Games,0.32
Hackberry,0.31
Nichibutsu,0.28
Pacific Century Cyber Works,0.26
DSI Games,0.26
DTP Entertainment,0.26
Nippon Telenet,0.26
Paon,0.25
FuRyu,0.24000000000000002
Xplosiv,0.23
Nordcurrent,0.23
Daito,0.22999999999999998
DreamCatcher Interactive,0.22999999999999998
Asgard,0.22
TDK Core,0.22
Mad Catz,0.2
Gathering of Developers,0.2
Graffiti,0.2
BAM! Entertainment,0.2
Alchemist,0.18
Ubisoft Annecy,0.17
Tivola,0.17
Game Life,0.17
SouthPeak Games,0.17
Irem Software Engineering,0.16999999999999998
Syscom,0.16
Aqua Plus,0.15000000000000002
Idea Factory,0.15000000000000002
Sony Music Entertainment,0.14
Myelin Media,0.13
Conspiracy Entertainment,0.13
Kadokawa Games,0.12
Aspyr,0.12
Taito,0.12
Tommo,0.11000000000000001
TopWare Interactive,0.11
Jaleco,0.11
Foreign Media Games,0.11
Gamecock,0.11
Gameloft,0.11
PM Studios,0.1
Cave,0.1
Broccoli,0.1
GameTek,0.1
Playlogic Game Factory,0.1
Marvelous Entertainment,0.1
Kemco,0.1
Edia,0.09000000000000001
Zushi Games,0.09
Nippon Amuse,0.09
Mastiff,0.08
XS Games,0.08
"Destination Software, Inc",0.08
Epoch,0.08
Agatsuma Entertainment,0.08
Agetec,0.08
JVC,0.08
Data Design Interactive,0.07
Scholastic Inc.,0.07
Imax,0.06
Success,0.06
City Interactive,0.06
Zenrin,0.06
Titus,0.06
Sonnet,0.06
Gainax Network Systems,0.05
JoWood Productions,0.05
Arc System Works,0.05
Kaga Create,0.05
Activision Value,0.05
PopCap Games,0.05
Pony Canyon,0.05
Coconuts Japan,0.05
Vap,0.05
Ocean,0.04
GungHo,0.04
PQube,0.04
Gakken,0.04
Media Works,0.04
Storm City Games,0.04
Jester Interactive,0.04
Yamasa Entertainment,0.04
Virtual Play Games,0.04
Rondomedia,0.04
Natsume,0.04
Virgin Interactive,0.04
CyberFront,0.04
Avanquest Software,0.04
Alvion,0.04
Tomy Corporation,0.03
HMH Interactive,0.03
Dorart,0.03
ASK,0.03
Fields,0.03
Midas Interactive Entertainment,0.03
Psygnosis,0.03
Paon Corporation,0.03
Sunsoft,0.03
Neko Entertainment,0.03
Paradox Interactive,0.03
KSS,0.03
Mastertronic,0.03
Kamui,0.03
Level 5,0.03
7G//AMES,0.03
Marvelous Interactive,0.03
Plenty,0.02
Arika,0.02
Culture Brain,0.02
PlayV,0.02
Victor Interactive,0.02
Happinet,0.02
Atlus,0.02
Karin Entertainment,0.02
Kadokawa Shoten,0.02
Mirai Shounen,0.02
Focus Multimedia,0.02
Kalypso Media,0.01
Creative Core,0.01
Naxat Soft,0.01
Commseed,0.01
Focus Home Interactive,0.01
Global A Entertainment,0.01
Media Entertainment,0.01
Banpresto,0.01
