Platform,Global_Sales
Nintendo,427.21
Sony Computer Entertainment,104.05999999999997
Sega,60.83999999999999
THQ,41.02000000000002
Activision,33.40000000000001
Capcom,22.620000000000008
Ubisoft,21.06
Vivendi Games,17.07
Konami Digital Entertainment,14.830000000000002
Universal Interactive,11.95
Disney Interactive Studios,9.850000000000003
Atari,7.450000000000001
Electronic Arts,6.53
Fox Interactive,4.29
Virgin Interactive,3.48
Take-Two Interactive,3.3399999999999994
Namco Bandai Games,2.8899999999999983
Sony Computer Entertainment Europe,2.7800000000000002
Hudson Soft,2.77
GT Interactive,2.54
TDK Mediactive,2.51
D3Publisher,2.4
Acclaim Entertainment,2.3400000000000003
Midway Games,1.7400000000000002
Microsoft Game Studios,1.65
Warner Bros. Interactive Entertainment,1.5300000000000005
Coleco,1.46
Eidos Interactive,1.3800000000000001
Infogrames,1.2600000000000002
Hasbro Interactive,0.91
Crystal Dynamics,0.87
BMG Interactive Entertainment,0.8599999999999999
Laguna,0.8400000000000001
Brash Entertainment,0.8400000000000001
Ocean,0.79
Gotham Games,0.76
BAM! Entertainment,0.76
Interplay,0.6900000000000001
505 Games,0.5700000000000001
Unknown,0.55
Parker Bros.,0.54
Majesco Entertainment,0.41000000000000003
Jack of All Games,0.4
Zoo Digital Publishing,0.35
Yacht Club Games,0.32
Crave Entertainment,0.31
Global Star,0.29
Nippon Ichi Software,0.24000000000000002
System 3,0.22000000000000003
Epoch,0.21
System 3 Arcade Software,0.19
Accolade,0.19
Kemco,0.15000000000000002
3DO,0.13
DreamWorks Interactive,0.13
SCi,0.12000000000000001
Sunsoft,0.11
Game Factory,0.1
Ignition Entertainment,0.1
Tecmo Koei,0.09
Deep Silver,0.08
Rising Star Games,0.08
LSP Games,0.08
Hudson Entertainment,0.08
Asylum Entertainment,0.07
Popcorn Arcade,0.07
Metro 3D,0.07
Oxygen Interactive,0.06
LEGO Media,0.06
Focus Home Interactive,0.06
ESP,0.05
Gremlin Interactive Ltd,0.05
Phenomedia,0.05
U.S. Gold,0.05
Midas Interactive Entertainment,0.05
DreamCatcher Interactive,0.05
Banpresto,0.04
JoWood Productions,0.04
Flashpoint Games,0.04
Swing! Entertainment,0.03
Intergrow,0.03
Agatsuma Entertainment,0.03
Play It,0.03
Wanadoo,0.03
Atlus,0.03
Psygnosis,0.03
Conspiracy Entertainment,0.03
Cygames,0.03
Evolved Games,0.03
Number None,0.03
Big Ben Interactive,0.02
NewKidCo,0.02
Natsume,0.02
Destineer,0.02
Storm City Games,0.02
Rain Games,0.01
Titus,0.01
