Puzzle,Global_Sales
Nintendo,124.88000000000002
Atari,21.589999999999996
THQ,9.249999999999998
Warner Bros. Interactive Entertainment,6.6499999999999995
Hudson Soft,6.61
Ubisoft,6.33
Namco Bandai Games,6.12
Electronic Arts,4.549999999999999
Sony Computer Entertainment,3.709999999999999
Midway Games,3.0499999999999994
Disney Interactive Studios,2.54
Sega,2.529999999999999
Compile,2.4299999999999997
JVC,2.4
505 Games,2.3799999999999986
Unknown,2.09
Banpresto,1.97
D3Publisher,1.8600000000000005
Avanquest,1.7700000000000002
Empire Interactive,1.5300000000000002
Ignition Entertainment,1.4400000000000002
Acclaim Entertainment,1.3500000000000003
Zoo Digital Publishing,1.3300000000000003
Scholastic Inc.,1.1800000000000002
Majesco Entertainment,1.1600000000000001
Storm City Games,1.12
Hasbro Interactive,1.12
Level 5,1.1
Rondomedia,1.09
Activision,1.06
Rising Star Games,1.0000000000000002
Deep Silver,0.9900000000000001
Eidos Interactive,0.8999999999999999
Konami Digital Entertainment,0.8300000000000001
Capcom,0.8
PopCap Games,0.7800000000000001
Crave Entertainment,0.7000000000000002
Square Enix,0.6000000000000001
Mattel Interactive,0.59
Parker Bros.,0.58
Mumbo Jumbo,0.54
Destineer,0.54
Game Factory,0.52
Focus Home Interactive,0.43000000000000005
Tetris Online,0.43
Mindscape,0.4
Performance Designed Products,0.36
Xplosiv,0.34
Foreign Media Games,0.32999999999999996
BPS,0.32
GSP,0.31
O-Games,0.29000000000000004
Mastertronic,0.28
Virgin Interactive,0.26
PlayV,0.26
UFO Interactive,0.23
The Adventure Company,0.22999999999999998
Zoo Games,0.22000000000000003
Popcorn Arcade,0.21000000000000002
Sears,0.21
Nordcurrent,0.2
Natsume,0.2
Astragon,0.2
Funsta,0.18000000000000002
"Destination Software, Inc",0.18
DreamCatcher Interactive,0.17
White Park Bay Software,0.16
Vivendi Games,0.16
ValuSoft,0.14
Jaleco,0.14
Telegames,0.13999999999999999
Midas Interactive Entertainment,0.13
SouthPeak Games,0.13
City Interactive,0.11000000000000001
3DO,0.11
Phenomedia,0.11
Microsoft Game Studios,0.1
Oxygen Interactive,0.1
Playlogic Game Factory,0.1
Culture Publishers,0.09
Sunsoft,0.09
Ocean,0.08
Codemasters,0.07
Zushi Games,0.07
Take-Two Interactive,0.07
HAL Laboratory,0.06
DTP Entertainment,0.06
Psygnosis,0.06
iWin,0.06
MediaQuest,0.05
Kemco,0.05
Easy Interactive,0.05
JoWood Productions,0.05
Pow,0.05
2D Boy,0.04
Conspiracy Entertainment,0.04
Ivolgamus,0.04
Koch Media,0.04
Rage Software,0.04
10TACLE Studios,0.03
Focus Multimedia,0.03
CDV Software Entertainment,0.03
Pinnacle,0.03
Hudson Entertainment,0.03
DHM Interactive,0.02
Devolver Digital,0.02
P2 Games,0.02
Micro Cabin,0.02
O3 Entertainment,0.02
Neko Entertainment,0.02
System 3 Arcade Software,0.02
Licensed 4U,0.02
Liquid Games,0.01
Success,0.01
7G//AMES,0.01
Genterprise,0.01
