Shooter,Global_Sales
Activision,299.8699999999999
Electronic Arts,158.26000000000002
Microsoft Game Studios,95.46
Nintendo,69.72999999999999
Ubisoft,67.64999999999999
Sony Computer Entertainment,57.52
Take-Two Interactive,54.47000000000001
Atari,22.69
LucasArts,17.029999999999998
Sega,16.589999999999993
THQ,14.900000000000007
Bethesda Softworks,13.65
Vivendi Games,11.689999999999998
Capcom,11.149999999999995
Namco Bandai Games,9.870000000000001
Konami Digital Entertainment,9.469999999999997
Eidos Interactive,8.059999999999999
Square Enix,7.37
Acclaim Entertainment,6.409999999999999
Midway Games,5.619999999999999
505 Games,5.5699999999999985
Codemasters,4.86
Imagic,4.45
Virgin Interactive,4.27
Warner Bros. Interactive Entertainment,3.71
City Interactive,3.3300000000000005
Valve Software,3.2300000000000004
GT Interactive,3.1599999999999993
SCi,2.8900000000000006
D3Publisher,2.8299999999999996
Red Storm Entertainment,2.28
Fox Interactive,2.14
Infogrames,2.0999999999999996
Valve,1.74
Unknown,1.6800000000000002
Gotham Games,1.57
Empire Interactive,1.48
Hudson Soft,1.23
Success,1.15
Trion Worlds,1.14
TDK Mediactive,1.04
Sony Computer Entertainment Europe,1.0
SouthPeak Games,0.9000000000000001
CTO SpA,0.88
BAM! Entertainment,0.8700000000000001
TalonSoft,0.87
NovaLogic,0.8200000000000001
Universal Interactive,0.78
3DO,0.77
Majesco Entertainment,0.7500000000000002
Activision Value,0.66
Interplay,0.6599999999999999
Taito,0.6100000000000001
Zoo Digital Publishing,0.6000000000000001
Midas Interactive Entertainment,0.6
Global Star,0.55
Ignition Entertainment,0.54
Deep Silver,0.53
Zoo Games,0.48
Play It,0.47000000000000003
Mastiff,0.41000000000000003
Rising Star Games,0.37000000000000005
Zushi Games,0.37
Coleco,0.34
SquareSoft,0.31
Rebellion Developments,0.30000000000000004
Tecmo Koei,0.29000000000000004
Wargaming.net,0.29
Disney Interactive Studios,0.28
Gathering of Developers,0.28
Sunsoft,0.25
Hasbro Interactive,0.24
Mattel Interactive,0.24
Ocean,0.23
Crave Entertainment,0.23
20th Century Fox Video Games,0.22
Playlogic Game Factory,0.2
Psygnosis,0.2
Reef Entertainment,0.2
Gremlin Interactive Ltd,0.2
Cave,0.2
Metro 3D,0.19
Neko Entertainment,0.18
Mastertronic,0.18
DTP Entertainment,0.18
Essential Games,0.17
Swing! Entertainment,0.15000000000000002
SNK Playmore,0.15
EA Games,0.15
BMG Interactive Entertainment,0.14
Tripwire Interactive,0.14
Moss,0.13
NDA Productions,0.12
Bohemia Interactive,0.12
Atlus,0.11
Titus,0.11
From Software,0.11
Rage Software,0.11
Enjoy Gaming ltd.,0.1
Interplay Productions,0.1
Conspiracy Entertainment,0.1
Evolved Games,0.09999999999999999
O3 Entertainment,0.09
Groove Games,0.09
Valcon Games,0.09
Phantom EFX,0.09
PQube,0.09
Big Ben Interactive,0.09
DreamCatcher Interactive,0.08
Alchemist,0.08
Mitsui,0.08
Banpresto,0.08
Milestone,0.08
Altron,0.07
Telstar,0.06
Nordic Games,0.06
Tommo,0.06
Hudson Entertainment,0.06
JVC,0.05
TechnoSoft,0.05
Destineer,0.05
Xseed Games,0.05
5pb,0.05
Starfish,0.04
Graffiti,0.04
Avalon Interactive,0.04
Popcorn Arcade,0.04
DHM Interactive,0.04
Time Warner Interactive,0.04
O-Games,0.03
id Software,0.03
Irem Software Engineering,0.03
ESP,0.03
Hip Interactive,0.03
MC2 Entertainment,0.02
Phoenix Games,0.02
Kemco,0.02
Arika,0.02
Jack of All Games,0.02
Warashi,0.02
Visco,0.02
UFO Interactive,0.02
Lexicon Entertainment,0.02
Gaga,0.02
Funsta,0.02
Devolver Digital,0.02
Nippon Ichi Software,0.02
G.Rev,0.01
Jaleco,0.01
LSP Games,0.01
