Simulation,Global_Sales
Electronic Arts,89.52999999999999
Nintendo,85.27
Ubisoft,44.66999999999997
Konami Digital Entertainment,32.310000000000024
505 Games,22.24
Microsoft Game Studios,12.489999999999998
Namco Bandai Games,10.429999999999998
Sony Computer Entertainment,8.67
Activision,8.26
THQ,7.840000000000001
Sony Computer Entertainment Europe,4.88
Atari,4.88
Rising Star Games,4.58
LucasArts,4.11
Sega,3.46
Maxis,3.39
Focus Home Interactive,2.81
Tecmo Koei,2.1
Majesco Entertainment,2.03
Taito,1.7200000000000002
Deep Silver,1.6400000000000006
Unknown,1.5000000000000004
Koch Media,1.5
Square Enix,1.37
Nobilis,1.32
Game Factory,1.3
Metro 3D,1.1600000000000001
Titus,1.07
Destineer,1.0300000000000002
Hudson Soft,1.03
Eidos Interactive,1.01
Jorudan,0.95
Take-Two Interactive,0.8900000000000001
Kalypso Media,0.8800000000000001
Disney Interactive Studios,0.8799999999999999
Psygnosis,0.85
From Software,0.8
Hudson Entertainment,0.79
Natsume,0.75
Marvelous Interactive,0.72
Banpresto,0.7
Enix Corporation,0.59
Rondomedia,0.53
Hect,0.5
Pack In Soft,0.48
SouthPeak Games,0.46
Codemasters,0.44
bitComposer Games,0.38
Sammy Corporation,0.38
ASCII Entertainment,0.32
Human Entertainment,0.32
D3Publisher,0.31000000000000005
Agetec,0.31
SquareSoft,0.31
Victor Interactive,0.31
Crave Entertainment,0.28
Virgin Interactive,0.27
Microprose,0.27
Indie Games,0.26
Paradox Interactive,0.26
Empire Interactive,0.25
GSP,0.25
MTO,0.24
DreamCatcher Interactive,0.23999999999999996
Aspyr,0.2
DTP Entertainment,0.2
Bethesda Softworks,0.19
Core Design Ltd.,0.19
City Interactive,0.18
Imagineer,0.16
JoWood Productions,0.16
"Destination Software, Inc",0.15000000000000002
Little Orbit,0.15
Capcom,0.15
Marvelous Entertainment,0.15
Excalibur Publishing,0.14
Touchstone,0.14
Global Star,0.14
Tomy Corporation,0.13
Game Life,0.13
Mercury Games,0.13
ArtDink,0.13
DHM Interactive,0.12
Atlus,0.11
Swing! Entertainment,0.11
O3 Entertainment,0.11
Zoo Digital Publishing,0.11
Avalon Interactive,0.1
Interplay,0.1
Mastiff,0.1
Hearty Robin,0.09
Origin Systems,0.09
Asmik Ace Entertainment,0.09
Asylum Entertainment,0.09
RTL,0.08
Micro Cabin,0.08
Spike,0.08
Avanquest,0.08
Mad Catz,0.07
Zoo Games,0.07
Elite,0.07
GT Interactive,0.07
ESP,0.06
Pack-In-Video,0.06
Foreign Media Games,0.06
Creative Core,0.06
NEC Interchannel,0.06
Office Create,0.06
Infogrames,0.06
Zushi Games,0.05
PQube,0.05
Graffiti,0.05
Ertain,0.05
Monte Christo Multimedia,0.05
Phantagram,0.05
Riverhillsoft,0.04
Rocket Company,0.04
Enterbrain,0.04
7G//AMES,0.04
5pb,0.04
Broccoli,0.03
Just Flight,0.03
TDK Core,0.03
FuRyu,0.03
Vivendi Games,0.03
Conspiracy Entertainment,0.03
Valcon Games,0.03
Kando Games,0.03
Lexicon Entertainment,0.03
Aerosoft,0.03
Telegames,0.02
fonfun,0.02
Kadokawa Shoten,0.02
DSI Games,0.02
Ghostlight,0.02
Graphsim Entertainment,0.02
Midas Interactive Entertainment,0.02
Hamster Corporation,0.02
Masque Publishing,0.02
Lighthouse Interactive,0.02
Astragon,0.02
Kadokawa Games,0.02
Imageworks,0.02
Happinet,0.01
Success,0.01
UIG Entertainment,0.01
Blue Byte,0.01
Ongakukan,0.01
Paradox Development,0.01
CDV Software Entertainment,0.01
