Strategy,Global_Sales
Nintendo,27.349999999999998
Activision,17.700000000000003
Electronic Arts,14.079999999999998
Namco Bandai Games,11.829999999999998
Konami Digital Entertainment,10.99
Banpresto,10.18
Ubisoft,8.45
THQ,7.49
Take-Two Interactive,7.399999999999998
Sega,6.87
Eidos Interactive,6.119999999999999
Tecmo Koei,5.63
Virgin Interactive,4.67
Microsoft Game Studios,4.29
Atari,3.8699999999999997
Warner Bros. Interactive Entertainment,2.8600000000000003
Sony Computer Entertainment,2.3399999999999994
Square Enix,1.8699999999999999
SquareSoft,1.79
Westwood Studios,1.55
LucasArts,1.5000000000000004
Kalypso Media,1.3100000000000003
Microprose,1.2000000000000002
Mastertronic,1.18
Deep Silver,0.8900000000000001
Vivendi Games,0.62
Mindscape,0.58
Rising Star Games,0.52
PopCap Games,0.5
Codemasters,0.47000000000000003
NCS,0.4
ASCII Entertainment,0.37
Paradox Interactive,0.3600000000000001
ArtDink,0.36
Capcom,0.30000000000000004
Elf,0.28
Jaleco,0.27
Majesco Entertainment,0.23
Bethesda Softworks,0.22999999999999998
Acclaim Entertainment,0.22999999999999998
Ghostlight,0.22
Slitherine Software,0.21
505 Games,0.19999999999999998
SSI,0.19
Unknown,0.19
Sony Online Entertainment,0.16
Gathering of Developers,0.15
SouthPeak Games,0.14
Crave Entertainment,0.14
General Entertainment,0.14
Midas Interactive Entertainment,0.13
Level 5,0.13
Focus Home Interactive,0.12000000000000001
Aqua Plus,0.12
JoWood Productions,0.11000000000000001
Success,0.11
DTP Entertainment,0.11
Atlus,0.11
PopTop Software,0.11
3DO,0.11
Ignition Entertainment,0.1
LEGO Media,0.1
Idea Factory,0.1
Compile Heart,0.1
Time Warner Interactive,0.09
Zoo Digital Publishing,0.09
Media Works,0.09
Takara Tomy,0.09
Natsume,0.09
Telegames,0.08
Infogrames,0.08
Broccoli,0.08
Glams,0.08
NEC Interchannel,0.08
Acquire,0.08
Playlogic Game Factory,0.07
Zushi Games,0.07
Global Star,0.07
Human Entertainment,0.07
CDV Software Entertainment,0.060000000000000005
10TACLE Studios,0.06
Black Bean Games,0.06
Activision Value,0.06
1C Company,0.05
Ascaron Entertainment GmbH,0.05
Team17 Software,0.05
Alawar Entertainment,0.04
Essential Games,0.04
Nippon Ichi Software,0.04
Iceberg Interactive,0.04
Kool Kizz,0.04
D3Publisher,0.04
Flight-Plan,0.04
Agetec,0.03
Angel Studios,0.03
CyberFront,0.03
System Soft,0.03
Sunflowers,0.03
Strategy First,0.03
Pinnacle,0.03
Hudson Soft,0.03
Irem Software Engineering,0.03
Mamba Games,0.02
Blue Byte,0.02
Nordic Games,0.02
Kadokawa Shoten,0.02
Storm City Games,0.02
Titus,0.02
Gamecock,0.02
Mumbo Jumbo,0.02
Interchannel-Holon,0.01
Gust,0.01
Trion Worlds,0.01
Ascaron Entertainment,0.01
EON Digital Entertainment,0.01
Koch Media,0.01
Funbox Media,0.01
New World Computing,0.01
Ackkstudios,0.01
